id,host,latitude,longitude,location,county,city,country,zipcode
a24a9e78-39b5-4097-9a16-d569b60bbece,id_1,37.50915833333333,-122.001125,"39816, Eureka Drive, Newark, Alameda County, California, 94560, United States of America", Alameda County, Newark, United States of America, 94560
a447cdd5-584e-4a06-b40a-44bf95cdf746,id_2,37.509255,-122.00109333333333,"39812, Eureka Drive, Newark, Alameda County, California, 94560, United States of America", Alameda County, Newark, United States of America, 94560
7dc98aa8-5993-4b68-a4ee-0a8285780288,id_3,37.52488833333334,-122.05163333333333,"37027, Willow Street, Newark, Alameda County, California, 94560, USA", Alameda County, Newark, USA, 94560
35119d1e-a38d-4c79-989b-6607100fcb8a,id_4,41.922963333333335,-87.696715,"2733, West Belden Avenue, Maplewood, Logan Square, Chicago, Cook County, Illinois, 60647, United States of America", Cook County, Chicago, United States of America, 60647
569b253c-ac25-47f0-b0c5-a81d0e0d9769,id_5,41.903076666666664,-87.67753833333333,"Fatpour Tap Works, 2005, West Division Street, Wicker Park, West Town, Chicago, Cook County, Illinois, 60622, United States of America", Cook County, Chicago, United States of America, 60622
e5a10a5a-28cc-4bbf-b03b-91bff899b718,id_6,39.16607166666667,-119.76767333333333,"North Curry Street, Carson City, Nevada, 89703-3814, USA", Carson City,North Curry Street, USA, 89703-3814
660095ec-bf3a-442b-bc66-6d14fed646bc,id_7,39.166043333333334,-119.76769833333333,"North Curry Street, Carson City, Nevada, 89703-3814, USA", Carson City,North Curry Street, USA, 89703-3814
6ac1c706-6aca-46c5-af97-6f875482cefb,id_8,39.166095,-119.76765666666667,"North Curry Street, Carson City, Nevada, 89703-3814, USA", Carson City,North Curry Street, USA, 89703-3814
7ec102d9-c2da-4e7c-bb7a-73f1c607f077,id_9,41.930818333333335,-87.71078666666666,"Logan Square, North Spaulding Avenue, Logan Square, Chicago, Cook County, Illinois, 60618, United States of America", Cook County, Chicago, United States of America, 60618
8a0b1c94-5346-48c2-ad62-a2ada337155b,id_10,39.16605333333333,-119.76765,"West Telegraph Street, Carson City, Nevada, 89703-3814, USA", Carson City,West Telegraph Street, USA, 89703-3814
cef8138d-27c9-455d-bd54-71d78006d83a,id_11,39.165998333333334,-119.76771833333333,"West Telegraph Street, Carson City, Nevada, 89703-3814, USA", Carson City,West Telegraph Street, USA, 89703-3814
a74def77-8e35-4741-ab5f-d50d2b806c20,id_12,41.91012333333333,-87.69735,"Mail box, West North Avenue, Humboldt Park, West Town, Chicago, Cook County, Illinois, 60302, United States of America", Cook County, Chicago, United States of America, 60302
1ce024e5-8e37-4310-a552-7fa35a2f3fdc,id_13,41.91531666666667,-87.7811,"1900-1948, North Austin Avenue, Hanson Park, Belmont Cragin, Chicago, Cook County, Illinois, 60630, United States of America", Cook County, Chicago, United States of America, 60630
2ac2d1cb-4e82-4295-8cf7-e563b58e10c3,id_14,41.92728833333334,-87.78309666666667,"6306, West Wrightwood Avenue, Beat 2521, Belmont Cragin, Chicago, Cook County, Illinois, 60639, United States of America", Cook County, Chicago, United States of America, 60639
dd9b4aac-764f-4efc-9537-9a5fa47fa13b,id_15,41.934338333333336,-87.76639833333333,"2941-2949, North Central Avenue, Beat 2514, Belmont Cragin, Chicago, Cook County, Illinois, 60630, United States of America", Cook County, Chicago, United States of America, 60630
35b6d790-5b31-4035-b8e1-bdfd83ea4563,id_16,41.90998166666667,-87.67669833333333,"Flat Iron Building, 1565-1589, North Milwaukee Avenue, Wicker Park, West Town, Chicago, Cook County, Illinois, 606476, United States of America", Cook County, Chicago, United States of America, 606476
