areaCode,city,latitude,longitude
201,"Jersey City, NJ",40.83885,-74.04567813
202,District of Columbia,38.89511,-77.03637
203,"Bridgeport, CT",41.29179813,-73.12245313
204,Manitoba,51.20303364,-98.72993455
205,"Birmingham, AL",33.42767111,-86.88647333
206,"Seattle, WA",47.56402714,-122.3489757
207,"Portland, ME",44.000005,-69.987965
208,"Boise, ID",44.415674,-115.558462
209,"Stockton, CA",37.604049,-120.999087
210,"San Antonio, TX",29.42412,-98.49363
212,"New York, NY",40.71427,-74.00597
213,"Los Angeles, CA",34.05223,-118.24368
214,"Dallas, TX",32.86350083,-96.83776792
215,"Philadelphia, PA",40.05372,-74.99628
216,"Cleveland, OH",41.4749,-81.61689545
217,"Springfield, IL",39.91789571,-88.89502857
218,"Duluth, MN",46.29681,-94.05581
219,"Hammond, IN",41.56626333,-87.2636
220,"Newark, OH",39.74919875,-82.66145
223,"Lancaster, PA",40.1537775,-76.582255
224,"Elgin, IL",42.14730875,-87.94760563
225,"Baton Rouge, LA",30.45075,-91.15455
226,"London, ON",43.23383118,-81.23092235
228,"Gulfport, MS",30.38862667,-88.84521333
229,"Albany, GA",31.205925,-83.71803
231,"Muskegon, MI",43.02465,-85.18177333
234,"Akron, OH",41.06350444,-81.31462611
236,"Vancouver, BC",50.43272529,-121.5153694
239,"Cape Coral, FL",26.45611429,-81.80060857
240,"Germantown, MD",39.047505,-77.12127929
248,"Troy, MI",42.54372462,-83.26242846
249,"Sudbury, ON",46.04182286,-80.00328643
250,"Kelowna, BC",50.83725909,-121.84152
251,"Mobile, AL",30.71658,-88.06097
252,"Greenville, NC",35.42039,-77.43325
253,"Tacoma, WA",47.228641,-122.365951
254,"Killeen, TX",31.204726,-97.579188
256,"Huntsville, AL",34.41824333,-86.63888167
260,"Fort Wayne, IN",41.1306,-85.12886
262,"Kenosha, WI",42.991375,-88.039892
267,"Philadelphia, PA",40.05372,-74.99628
269,"Kalamazoo, MI",42.27005333,-85.44846333
270,"Bowling Green, KY",37.44057,-87.00663143
272,"Scranton, PA",41.238118,-76.10365
276,"Bristol, VA",37.55376,-77.46026
279,"Sacramento, CA",38.54004235,-121.3983159
281,"Houston, TX",29.70917889,-95.30039889
289,"Hamilton, ON",43.5654075,-79.333166
301,"Germantown, MD",39.047505,-77.12127929
302,Delaware,39.52928,-75.60687333
303,"Denver, CO",39.77755625,-105.0026667
304,West Virginia,39.361145,-81.16209333
305,"Miami, FL",25.74041704,-80.35898037
306,Saskatchewan,51.39973636,-105.6886145
307,Wyoming,42.4022675,-105.5566625
308,"Grand Island, NE",40.91612,-99.39630333
309,"Peoria, IL",40.93229,-89.85594333
310,"Los Angeles, CA",33.89912813,-118.3529044
312,"Chicago, IL",41.88475,-88.20396
313,"Detroit, MI",42.31222889,-83.20119111
314,"St. Louis, MO",38.64949667,-90.32305333
315,"Syracuse, NY",43.253676,-75.862524
316,"Wichita, KS",37.69224,-97.33754
317,"Indianapolis, IN",39.86670667,-86.07174333
318,"Shreveport, LA",32.278824,-92.942602
319,"Cedar Rapids, IA",41.92194833,-91.77887833
320,"St. Cloud, MN",45.5608,-94.16249
321,"Orlando, FL",28.3756865,-81.1535335
323,"Los Angeles, CA",33.98717818,-118.2120055
325,"Abilene, TX",31.956255,-100.08509
330,"Akron, OH",41.06350444,-81.31462611
331,"Aurora, IL",41.8771732,-88.0948236
332,"New York, NY",40.691608,-73.959668
334,"Montgomery, AL",32.187855,-85.86078875
336,"Greensboro, NC",35.986358,-79.858592
